,Unnamed: 0,E_HOMO_PM6[eV],E_LUMO_PM6[eV],DipoleMoment [D],IsotropicAverageAlpha [A.U.],AverageBeta [A.U.], AverageGamma [A.U.],S1(CAS2-1+CIS) [eV],S2(CAS2-1+CIS) [eV],INDOS-OscStr(CAS2-1+CIS),CI-Coef**2(CAS2-1+CIS),T1(CAS2-1+CIS) [eV],T2(CAS2-1+CIS) [eV],nAcid,naAromAtom,nAromBond,nAtom,nHeavyAtom,nH,nB,nC,nN,nO,nS,nF,nX,nBase,nBonds,nBonds2,nBondsS,nBondsS2,nBondsS3,nBondsD,nBondsD2,nBondsT,nBondsM,C1SP1,C2SP1,C1SP2,C2SP2,C3SP2,C1SP3,C2SP3,C3SP3,C4SP3,Sv,Sse,Spe,Sare,Sp,Si,Mv,Mse,Mpe,Mare,Mp,Mi,nHBAcc,nHBAcc2,nHBAcc3,nHBAcc_Lipinski,nHBDon,nHBDon_Lipinski,nAtomLC,nAtomP,nAtomLAC,nRing,n3Ring,n4Ring,n5Ring,n6Ring,n7Ring,n8Ring,n9Ring,n10Ring,nFRing,nF4Ring,nF5Ring,nF6Ring,nF7Ring,nF8Ring,nF9Ring,nF10Ring,nHeteroRing,n3HeteroRing,n4HeteroRing,n5HeteroRing,n6HeteroRing,n7HeteroRing,n8HeteroRing,n9HeteroRing,n10HeteroRing,nF4HeteroRing,nF5HeteroRing,nF6HeteroRing,nF7HeteroRing,nF8HeteroRing,nF9HeteroRing,nF10HeteroRing,nT4HeteroRing,nT5HeteroRing,nT6HeteroRing,nT7HeteroRing,nT8HeteroRing,nT9HeteroRing,nT10HeteroRing,nRotB,RotBFrac,nRotBt,RotBtFrac, DRC(PUHF)
1,10011906,-8.96602,-2.01587,2.504,95.38005,991.0772,56233.57907000001,0.7875711999999999,2.5596892,0.0004,0.0,0.2335664999998244,1.2471534999998244,0.0,6.0,6.0,11.0,8.0,3.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,8.0,11.0,7.0,4.0,1.0,4.0,1.0,0.0,7.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,8.086632403826584,11.32119446467589,11.164705882352944,11.324000000000002,8.173879640718562,84.2509754491018,0.7351484003478713,1.0291994967887172,1.014973262032086,1.0294545454545456,0.7430799673380512,7.659179586281983,3.0,3.0,3.0,3.0,0.0,0.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.125,1.0,0.125,0.117375
8,100946630,-9.6838,-0.74648,2.958,56.33557,121.9828,5110.53909,0.0193016,1.0143412,1e-06,0.00986755,-0.9164923000000726,2.929010399999928,0.0,0.0,0.0,11.0,6.0,5.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,11.0,10.0,10.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,6.784167718298392,11.3809176984705,11.011764705882356,11.200000000000005,6.956865269461077,83.99372155688623,0.6167425198453085,1.0346288816791365,1.0010695187165777,1.0181818181818183,0.6324422972237342,7.63579286880784,2.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.16666666666666666,0.953444
18,100973821,-8.044880000000001,0.13996,2.346,87.69985,238.5265,7471.99058,1.0234646,2.6637361,0.000956,0.18049038,-0.32110340000008364,1.9652951999999164,0.0,0.0,0.0,18.0,7.0,11.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,18.0,18.0,18.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,9.980052920822313,17.38310269482884,16.490196078431378,16.680000000000007,11.3920497005988,136.76944491017966,0.5544473844901284,0.9657279274904912,0.9161220043572988,0.9266666666666672,0.6328916500332666,7.598302495009983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.950048
19,100984127,-11.03305,-1.64683,1.582,41.23255,18.8561,640.63829,1.0416317,1.5644581,8e-06,0.00323588,0.04249340000023949,0.1843557000002395,0.0,0.0,0.0,8.0,7.0,1.0,0.0,2.0,1.0,1.0,0.0,3.0,3.0,0.0,6.0,7.0,6.0,6.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.6833405251373925,9.807720320466133,10.08627450980392,10.428,4.538798203592814,69.78418742514971,0.7104175656421741,1.2259650400582671,1.2607843137254902,1.3035,0.5673497754491017,8.723023428143714,2.0,5.0,4.0,2.0,1.0,1.0,7.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.16666666666666666,5.0,0.8333333333333334,0.562087
20,100984271,-8.61009,-0.98775,0.252,65.92564,4.1611,1605.27646,1.4735826,2.8087102,0.00492,0.14317494,0.14633920000005676,1.3189264000000571,0.0,0.0,0.0,10.0,6.0,4.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,8.0,8.0,4.0,2.0,2.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.599582739670264,10.101966496722504,9.83529411764706,9.976,6.914474251497005,76.94800718562875,0.6599582739670264,1.0101966496722503,0.9835294117647059,0.9976,0.6914474251497005,7.694800718562876,2.0,2.0,2.0,2.0,2.0,2.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.647462
21,100984273,-8.491430000000001,-0.8623700000000001,4.453,63.68872,122.2395,1238.4542800000004,0.5877418000000001,1.9692712,1.5e-05,0.00412126,0.034031500000082815,0.4855283000000828,0.0,0.0,0.0,10.0,6.0,4.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,8.0,8.0,4.0,2.0,2.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.599582739670264,10.101966496722504,9.83529411764706,9.976,6.914474251497005,76.94800718562875,0.6599582739670264,1.0101966496722503,0.9835294117647059,0.9976,0.6914474251497005,7.694800718562876,2.0,2.0,2.0,2.0,2.0,2.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.527845
31,101022885,-9.62358,-1.25177,4.657,67.27731,227.668,5139.18781,0.0448124,0.9245773000000002,2e-06,0.0,-0.5333528999999544,3.0639883000000454,0.0,0.0,0.0,12.0,6.0,6.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,11.0,11.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,7.383446977406884,11.826656955571739,11.368627450980394,11.508000000000004,8.05434610778443,91.27320838323357,0.6152872481172401,0.985554746297645,0.9473856209150328,0.9590000000000002,0.6711955089820357,7.606100698602796,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8522379999999999
34,101036606,-9.69417,1.09691,1.7280000000000002,84.57921999999998,44.4257,2218.20542,2.6228946,3.3443029,0.007984,0.32029862,0.05108820000009473,3.2892857000000952,0.0,0.0,0.0,18.0,7.0,11.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,18.0,18.0,18.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,9.738016486871569,17.546249089584848,16.682352941176475,16.908000000000005,11.050732335329338,138.72980419161678,0.5410009159373094,0.9747916160880472,0.9267973856209152,0.9393333333333336,0.6139295741849632,7.707211343978709,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.14285714285714285,0.879871
44,101079721,-8.898810000000003,-0.80607,5.155,94.17518,377.3197,14575.64321,2.2881421000000004,2.6194798,0.000477,0.28496986,0.1103502999999364,2.1457329999999364,0.0,0.0,0.0,13.0,8.0,5.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,13.0,10.0,10.0,5.0,3.0,3.0,0.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,8.827332179930796,13.213401310997813,12.854901960784314,13.028000000000004,9.135308383233532,98.02764371257486,0.679025552302369,1.0164154854613705,0.9888386123680244,1.0021538461538464,0.7027160294795025,7.540587977890373,2.0,2.0,1.0,2.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.125,0.885748
45,101079723,-9.07356,-0.07975,1.384,88.06868,326.3515,7586.4309,2.2471959,2.3768577,0.00016,0.00462414,0.11414170000011835,1.9574829000001184,0.0,0.0,0.0,15.0,8.0,7.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,15.0,13.0,13.0,6.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,9.412324445349077,14.933721777130373,14.42352941176471,14.616000000000005,10.112305988023948,114.86173712574852,0.6274882963566051,0.9955814518086912,0.9615686274509806,0.9744000000000004,0.6741537325349299,7.657449141716567,2.0,2.0,2.0,2.0,1.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.25,0.862611
49,101087154,-7.04285,0.1433,2.957,69.62589,67.5257,1267.32988,1.4354631000000002,2.6743196,0.003165,0.21401894,-0.2323489000000336,1.9837560999999664,0.0,0.0,0.0,14.0,6.0,8.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,6.0,14.0,13.0,13.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,7.683238347242013,13.877640203932991,13.286274509803928,13.496000000000004,8.511583233532933,109.51912814371259,0.5488027390887152,0.9912600145666424,0.9490196078431374,0.9640000000000004,0.6079702309666379,7.822794867408043,2.0,2.0,2.0,2.0,2.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.311054
59,101121179,-9.36088,0.36129,1.655,82.07822,11.5434,1205.92926,3.1345325,5.8426753,0.013822,0.0,1.9346350999999231,5.345170199999924,0.0,0.0,0.0,18.0,7.0,11.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,19.0,19.0,19.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,9.980052920822313,17.38310269482884,16.490196078431378,16.680000000000007,11.3920497005988,136.76944491017966,0.5544473844901284,0.9657279274904912,0.9161220043572988,0.9266666666666672,0.6328916500332666,7.598302495009983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.095705
60,101125919,-8.35768,0.90782,2.084,91.84704,39.1813,2329.25688,1.4572276000000002,4.195012,0.003903,0.01650396,0.2399224999999205,5.55206699999992,0.0,0.0,0.0,21.0,8.0,13.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,22.0,22.0,22.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,11.521880724608184,20.27093954843408,19.21568627450981,19.440000000000005,13.190604191616762,159.79770000000005,0.5486609868861041,0.9652828356397182,0.9150326797385624,0.9257142857142858,0.6281240091246078,7.609414285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.351291
61,101127232,-8.48635,-2.14878,6.751,78.77660999999998,288.6866,-7512.5481599999985,0.5629388000000001,1.3682822,0.000279,0.06473954,-0.21194609999997732,0.4966352000000226,0.0,0.0,0.0,12.0,6.0,6.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,12.0,11.0,11.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,7.3402825157744775,11.994173343044428,11.525490196078437,11.680000000000005,7.875902994011973,90.7246754491018,0.6116902096478731,0.9995144452537024,0.9604575163398696,0.9733333333333336,0.6563252495009978,7.5603896207584835,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.423358
71,101204624,-9.48823,-1.41541,0.17800000000000002,50.97666,9.7101,1414.05505,0.3720871,1.4451782,0.001215,0.03529844,-0.466679900000031,0.7877927999999692,0.0,5.0,5.0,8.0,5.0,3.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,6.0,3.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.57070527172807,7.994901675163874,7.780392156862747,7.8679999999999986,5.856514371257484,60.10217305389222,0.6963381589660087,0.9993627093954842,0.9725490196078432,0.9835,0.7320642964071855,7.512771631736528,1.0,0.0,0.0,1.0,1.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.535342
77,101252100,-9.46844,-1.00658,0.1,63.6393,257.1476,4102.397,3.6858883,4.4144278,0.001583,0.0,1.3136527999999998,3.4738279000000003,0.0,0.0,0.0,10.0,5.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,8.0,8.0,3.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,6.795214329330349,9.548069919883464,9.11372549019608,9.204,7.810757485029939,72.65355389221557,0.6795214329330349,0.9548069919883464,0.9113725490196078,0.9204,0.7810757485029939,7.265355389221558,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.103971
85,101334352,-10.0098,2.64259,0.392,84.05726999999997,6.4851,966.3682,4.8236555,4.9372557,0.0068260000000000005,0.44836542,-0.007832000000007609,4.7777228999999934,0.0,0.0,0.0,19.0,7.0,12.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,19.0,19.0,19.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,10.250966822715247,18.32702112163146,17.352941176470598,17.560000000000006,11.791326946107779,144.91222514970062,0.539524569616592,0.9645800590332348,0.9133126934984525,0.9242105263157898,0.6205961550583042,7.626959218405296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.2857142857142857,0.896858
87,101351820,-8.74938,0.5714199999999999,1.816,82.95329,19.1557,2575.97443,1.6757145,4.417654799999998,0.007256,0.01600383,0.49067940000009,5.918548000000089,0.0,0.0,0.0,18.0,7.0,11.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,19.0,19.0,19.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,9.980052920822313,17.38310269482884,16.490196078431378,16.680000000000007,11.3920497005988,136.76944491017966,0.5544473844901284,0.9657279274904912,0.9161220043572988,0.9266666666666672,0.6328916500332666,7.598302495009983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.196003
90,101382126,-9.05023,0.46129,1.11,197.4384,42302.7581,26226735.2093,3.8423525,4.501164,0.00011,0.32079217,0.00419899999997142,3.7419278999999714,0.0,0.0,0.0,19.0,7.0,12.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,19.0,19.0,19.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,12.020964787299008,17.884195193008008,16.843137254901965,16.952000000000005,16.41408143712575,141.1893269461078,0.6326823572262635,0.9412734312109478,0.886480908152735,0.8922105263157898,0.8638990230066184,7.431017207689884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.2857142857142857,0.801198
92,101385082,-8.21385,-1.26647,4.713,122.6959,552.2661,14219.53337,0.2838771,1.131901,0.0007610000000000001,0.02916045,-0.15503389999980755,0.4578019000001925,0.0,0.0,0.0,17.0,10.0,7.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,19.0,19.0,19.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,3.0,1.0,11.896397313250565,16.607428987618352,16.039215686274513,16.160000000000004,12.794940718562872,124.42640778443115,0.699788077250033,0.9769075875069619,0.9434832756632068,0.9505882352941178,0.7526435716801689,7.319200457907716,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.16666666666666666,3.0,0.25,0.441707
95,101418130,-9.31874,-0.9614,2.6910000000000003,84.50437,64.8619,2522.33284,0.0183593,1.2693116000000002,0.0,0.14747771,-1.1013909000000697,2.5929003999999307,0.0,6.0,6.0,14.0,8.0,6.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,14.0,11.0,8.0,2.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,9.098246081823737,14.157319737800435,13.717647058823536,13.908000000000005,9.534585628742514,106.17042395209582,0.6498747201302668,1.0112371241286024,0.9798319327731096,0.9934285714285718,0.6810418306244653,7.583601710863987,0.0,2.0,2.0,2.0,1.0,1.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.125,2.0,0.25,0.509772
99,101454019,-9.23706,-0.46706,6.38,51.20719,130.9485,1117.49037,2.03401,3.1582719,0.069745,0.0,1.2223249000001033,2.670603700000103,0.0,0.0,0.0,10.0,5.0,5.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,9.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.870496641563202,10.045884923525128,9.698039215686276,9.856000000000002,6.3137514970059865,78.34809281437126,0.5870496641563202,1.0045884923525126,0.9698039215686276,0.9856,0.6313751497005986,7.834809281437128,2.0,2.0,2.0,2.0,1.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,4.0,1.0,0.496331
102,101482410,-8.54894,1.68003,3.358,69.77295,95.2223,8125.87437,3.134217,3.6012797999999995,0.017227000000000003,0.0,1.6431252000002132,3.5299132000002134,0.0,0.0,0.0,16.0,8.0,8.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,8.0,16.0,16.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.838418685121107,16.024034959941734,15.462745098039221,15.788000000000006,11.116373652694607,125.33795449101801,0.6149011678200694,1.0015021849963583,0.9664215686274512,0.9867500000000003,0.6947733532934129,7.833622155688626,5.0,5.0,5.0,5.0,5.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.25,0.17338399999999998
122,101666328,-8.14965,-2.14473,4.932,83.95922,16.5193,-4490.49705,5.2762749000000015,5.3329608,0.053228,0.45022987,0.03477290000000721,5.197528000000006,0.0,0.0,0.0,13.0,7.0,6.0,0.0,5.0,0.0,0.0,0.0,2.0,2.0,0.0,7.0,13.0,13.0,13.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,7.918592713209852,13.576839038601602,13.298039215686275,13.560000000000004,8.062729341317363,103.43578323353294,0.609122516400758,1.0443722337385848,1.022926093514329,1.0430769230769237,0.6202099493321048,7.956598710271765,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.2857142857142857,0.67338
