,Unnamed: 0,E_HOMO_PM6[eV],E_LUMO_PM6[eV],DipoleMoment [D],IsotropicAverageAlpha [A.U.],AverageBeta [A.U.], AverageGamma [A.U.],S1(CAS2-1+CIS) [eV],S2(CAS2-1+CIS) [eV],INDOS-OscStr(CAS2-1+CIS),CI-Coef**2(CAS2-1+CIS),T1(CAS2-1+CIS) [eV],T2(CAS2-1+CIS) [eV],nAcid,naAromAtom,nAromBond,nAtom,nHeavyAtom,nH,nB,nC,nN,nO,nS,nF,nX,nBase,nBonds,nBonds2,nBondsS,nBondsS2,nBondsS3,nBondsD,nBondsD2,nBondsT,nBondsM,C1SP1,C2SP1,C1SP2,C2SP2,C3SP2,C1SP3,C2SP3,C3SP3,C4SP3,Sv,Sse,Spe,Sare,Sp,Si,Mv,Mse,Mpe,Mare,Mp,Mi,nHBAcc,nHBAcc2,nHBAcc3,nHBAcc_Lipinski,nHBDon,nHBDon_Lipinski,nAtomLC,nAtomP,nAtomLAC,nRing,n3Ring,n4Ring,n5Ring,n6Ring,n7Ring,n8Ring,n9Ring,n10Ring,nFRing,nF4Ring,nF5Ring,nF6Ring,nF7Ring,nF8Ring,nF9Ring,nF10Ring,nHeteroRing,n3HeteroRing,n4HeteroRing,n5HeteroRing,n6HeteroRing,n7HeteroRing,n8HeteroRing,n9HeteroRing,n10HeteroRing,nF4HeteroRing,nF5HeteroRing,nF6HeteroRing,nF7HeteroRing,nF8HeteroRing,nF9HeteroRing,nF10HeteroRing,nT4HeteroRing,nT5HeteroRing,nT6HeteroRing,nT7HeteroRing,nT8HeteroRing,nT9HeteroRing,nT10HeteroRing,nRotB,RotBFrac,nRotBt,RotBtFrac, DRC(PUHF)
31782,142642521,-8.85628,-1.94873,2.807,83.92535,369.5376,7154.78272,0.6290601,1.746345,0.005331,0.07085485,0.0903845000000274,0.2424794000000274,0.0,0.0,0.0,13.0,8.0,5.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,11.0,16.0,15.0,15.0,10.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,8.62846020761246,13.209031318281136,12.890196078431375,13.084000000000005,8.972434131736525,100.5365359281437,0.6637277082778815,1.016079332175472,0.9915535444947212,1.0064615384615387,0.6901872409028097,7.733579686780287,2.0,2.0,2.0,3.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09090909090909093,0.222577
31795,142698506,-9.002130000000003,-0.5400699999999999,1.883,58.86113,92.1024,-483.41479,1.4190562,4.887746099999998,0.031,0.04215743,0.5048025999999481,3.991330299999948,0.0,0.0,0.0,10.0,6.0,4.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,11.0,11.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,6.513253816405456,10.436999271667881,10.14901960784314,10.320000000000002,6.5575880239520945,75.85094131736528,0.6513253816405455,1.043699927166788,1.0149019607843142,1.0320000000000005,0.6557588023952095,7.585094131736527,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.429059
31806,142762219,-8.9354,-0.72218,1.916,113.21263,150.3671,10900.09037,4.4094148,4.6194892,0.000189,0.13180436,0.6427412000000459,4.2621330000000475,0.0,0.0,0.0,15.0,8.0,7.0,0.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,8.0,15.0,14.0,14.0,7.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,9.654360879299821,14.77057538237436,14.231372549019609,14.388000000000005,10.45362335329341,112.90137784431141,0.6436240586199878,0.984705025491624,0.9487581699346408,0.9592000000000004,0.6969082235528941,7.526758522954093,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21583400000000005
31813,142775310,-9.6611,-0.8781899999999999,3.004,64.28169,140.9729,2552.54463,1.0330963,1.2242835,0.003821,0.10912085,-0.013776000000007116,0.7607206999999929,0.0,0.0,0.0,14.0,6.0,8.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,14.0,14.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,7.882110319560352,13.88201019664967,13.250980392156867,13.440000000000005,8.674457485029937,107.01023592814371,0.5630078799685966,0.9915721569035478,0.9464985994397762,0.9600000000000004,0.6196041060735671,7.643588280581695,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.16666666666666666,0.289509
31843,142916082,-8.1845,-0.27175,1.297,106.72614,70.649,5876.69594,1.1156318,2.4811626,0.000929,0.4402757000000001,-0.07628759999988688,0.6736475000001131,0.0,0.0,0.0,19.0,9.0,10.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,19.0,19.0,9.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,2.0,0.0,11.709139018929374,18.439184268026217,17.62745098039216,17.800000000000004,12.992772455089815,142.11205389221558,0.6162704746804933,0.9704833825276956,0.9277605779153768,0.9368421052631579,0.6838301292152535,7.47958178380082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.188556
31861,14296732,-8.82725,0.10512,1.828,83.93955,66.7856,368.37113,3.6312497,5.2372013,3e-05,0.0,1.460491300000058,3.682824800000058,0.0,0.0,0.0,14.0,6.0,8.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,13.0,12.0,12.0,4.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,8.167311215143501,13.551347414420974,12.901960784313733,13.040000000000004,9.194217964071854,105.59840958083834,0.58337937251025,0.9679533867443552,0.9215686274509808,0.9314285714285716,0.656729854576561,7.542743541488452,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.4,0.062445000000000014
31867,142987265,-9.02144,-1.05287,2.489,83.97121,93.5995,5032.23246,1.2785011,2.6065008,0.000342,0.11086697,-0.053947299999890674,0.7802969000001093,0.0,0.0,0.0,14.0,8.0,6.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,15.0,14.0,14.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,9.141410543456141,13.989803350327747,13.560784313725494,13.736000000000004,9.713028742514966,106.71895688622757,0.6529578959611528,0.9992716678805534,0.9686274509803924,0.9811428571428574,0.6937877673224977,7.62278263473054,2.0,2.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.473437
31872,142992601,-9.05817,0.7128399999999999,1.411,91.91246,102.6215,2982.1073,1.448826,3.8954106,0.0008089999999999999,0.17981045,0.0898935000000165,1.8798138000000164,0.0,0.0,0.0,19.0,8.0,11.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,19.0,17.0,17.0,6.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,10.738016486871569,18.546249089584848,17.682352941176475,17.908000000000005,12.050732335329338,145.47249880239522,0.5651587624669246,0.9761183731360448,0.930650154798762,0.942526315789474,0.6342490702804915,7.656447305389223,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.772205
31879,143047820,-8.70678,0.31635,2.081,100.16941,231.0474,5940.5669,2.4262984,3.2826062000000005,0.00971,0.0499208,0.8273351999998795,2.0874853999998795,0.0,0.0,0.0,18.0,9.0,9.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,11.0,20.0,18.0,18.0,9.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,2.0,1.0,0.0,11.196188683085694,17.658412235979604,16.956862745098046,17.148000000000003,12.252177844311376,135.92963293413177,0.6220104823936496,0.9810229019988668,0.9420479302832246,0.9526666666666668,0.6806765469061875,7.551646274118428,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.09090909090909093,0.124509
31887,143086452,-8.72512,1.91582,3.069,103.04061,71.3893,3051.68567,3.8062581,5.0800722999999985,0.02822,0.03171589,1.7208184999999503,4.38738559999995,0.0,0.0,0.0,23.0,9.0,14.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,2.0,10.0,24.0,24.0,24.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,12.308721758599635,22.54115076474872,21.46274509803922,21.776,13.907246706586822,178.60389341317367,0.5351618155912886,0.9800500332499444,0.9331628303495314,0.946782608695652,0.6046629002863836,7.7653866701379854,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.224235
